Duration (in seconds),"Hoja de Información



Título del estudio: Opiniones sobre políticos Investigadores: Santiago Ventura (Universidad de Warwick), Tim Mullett (Universidad de Warwick), y Nick Chater (Universidad de Warwick).



Financiamiento: Esta investigación es financiada por la Warwick Business School (Universidad de Warwick).



Objetivos y duración del proyecto: Este estudio tiene como objetivo entender mejor las opiniones de las personas sobre políticos de Chile. La duración estimada del estudio es de 2 a 3 minutos.



Metodología y participación: En este estudio se te preguntará tu opinión sobre un político chileno y se te pedirá completar un breve cuestionario demográfico (e.g. edad, género) y finalmente, por quién crees que votarás en las elecciones presidenciales.



Riesgos y beneficios: Participar en este estudio no implica riesgos mayores que los que se encuentran en la vida diaria. No podemos garantizar que recibirás beneficios por participar.



Participación voluntaria: Tu participación es completamente voluntaria. Puedes retirarte en cualquier momento, simplemente cerrando el navegador. Sin embargo, solo podremos pagarte si completas la encuesta.



Privacidad: Para proteger tu privacidad, no se recogerá información directamente identificable (e.g. nombre, correo electrónico o dirección). Los datos serán anonimizados lo antes posible tras la recolección y no será posible retirarlos después de este punto.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es capaz.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es un/a experto/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] cumple muy bien con su deber.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - Si los ciudadanos necesitan ayuda, [Field-Politician] hará lo posible para ayudarles.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] actúa en interés de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] está genuinamente interesado/a en el bienestar de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] tiene un acercamiento sincero con los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es sincero/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es honesto/a.","¿Durante esta encuesta, sobre qué político estabas pensando?","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Selected Choice","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Otro - Text",¿Dirías que eres fuertemente de Derecha o no tan fuertemente de Derecha?,¿Dirías que eres fuertemente de Izquierda o no tan fuertemente de Izquierda?,"Si tuvieras que elegir, ¿te sentirías más cercano con la Izquierda o la Derecha?",¿Qué tan importante es tu identificación política para tí?,¿Con qué género te identificas? - Selected Choice,¿Qué edad tienes?,"Las elecciones presidenciales se llevarán a cabo el próximo domingo 16 de Noviembre, ¿por quién planeas votar?",rid,Politician,MatrixResponses,Consent,Attention
128,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Poco importante,Femenino,44,Evelyn Matthei Fornet,6915c5d6-67e9-86c5-008b-0b38e9e98db9,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
85,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Nada importante,Femenino,32,José Antonio Kast Rist,6915c5db-ff8b-d14f-e219-e7ad482129b0,José Antonio Kast,"Algo en desacuerdo, Totalmente en desacuerdo",1,1
84,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,27,José Antonio Kast Rist,6915c5e1-b27f-9b08-90f1-7aa5cc89346d,Jeannette Jara,Totalmente en desacuerdo,1,1
282,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Extremadamente importante,Femenino,30,Jeannette Jara Román,6915c5e8-ae2d-4bc6-b9e2-914fc5384146,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
72,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Nada importante,Femenino,42,Evelyn Matthei Fornet,6915c5ef-deab-251f-0a1c-aaf09df0fe13,Jeannette Jara,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
173,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,58,Evelyn Matthei Fornet,6915c5f8-da7a-a486-2269-1d3ffde0fe3e,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
278,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Poco importante,Masculino,27,Jeannette Jara Román,6915c5fc-86d8-c059-6b4b-850f6b314fb8,José Antonio Kast,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
171,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Muy importante,Femenino,32,José Antonio Kast Rist,6915c5fe-5c57-eba4-eb64-4b620c0b579b,José Antonio Kast,Totalmente de acuerdo,1,1
140,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,21,José Antonio Kast Rist,6915c603-3ce5-0e4c-2d5a-fadd95232c9a,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo, Totalmente en desacuerdo",1,1
264,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Masculino,31,Jeannette Jara Román,6915c605-eab6-e07d-6a5b-6d93b6b36a6b,Jeannette Jara,"Algo en desacuerdo, Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
111,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,45,Johannes Kaiser Barents-von Hohenhagen,6915c606-3f0d-756d-9762-d5ae514ae2f5,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Totalmente de acuerdo",1,1
193,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Poco importante,Masculino,60,Jeannette Jara Román,6915c609-f8c1-8424-78e7-e8d175c229f4,Jeannette Jara,Algo de acuerdo,1,1
104,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,35,Johannes Kaiser Barents-von Hohenhagen,6915c60c-5e91-5dcc-64dc-cb3008c26696,José Antonio Kast,"Algo en desacuerdo, Totalmente en desacuerdo",1,1
180,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Femenino,24,José Antonio Kast Rist,6915c60e-2969-830f-999c-aa0603859fad,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
93,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Femenino,26,Jeannette Jara Román,6915c616-45e9-433a-5ca9-e13f876eafd6,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
66,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Femenino,30,Jeannette Jara Román,6915c619-b0a8-40d6-6319-838665f473ad,Jeannette Jara,Algo de acuerdo,1,1
86,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Poco importante,Femenino,33,Franco Parisi Fernández,6915c61a-9deb-13d2-232b-ba4b1a6c6924,Jeannette Jara,"Totalmente en desacuerdo, Algo en desacuerdo, Algo de acuerdo",1,1
495,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Moderadamente importante,Femenino,43,Johannes Kaiser Barents-von Hohenhagen,6915c61d-55e0-024f-b30a-925dbba10bc4,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
130,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,36,José Antonio Kast Rist,6915c61e-4efe-6f41-aa33-4865fd2544a4,José Antonio Kast,Totalmente de acuerdo,1,1
213,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,62,José Antonio Kast Rist,6915c61e-7cc0-fa36-597d-f2ff5be9221f,Jeannette Jara,Totalmente en desacuerdo,1,1
101,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Moderadamente importante,Femenino,24,Jeannette Jara Román,6915c61d-3214-c717-24cb-f97924b41a53,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
272,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Moderadamente importante,Femenino,26,Jeannette Jara Román,6915c61c-3c74-3f71-01f4-597eda2d76eb,Jeannette Jara,"Ni de acuerdo ni en desacuerdo, Totalmente en desacuerdo, Algo en desacuerdo, Algo de acuerdo",1,1
1495,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,Fuertemente de Izquierda,,Moderadamente importante,Masculino,34,Jeannette Jara Román,6915c61f-e9a5-7810-f2a5-58c6b67e6358,José Antonio Kast,Totalmente en desacuerdo,1,1
128,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Poco importante,Femenino,21,José Antonio Kast Rist,6915c622-1631-ec4f-36f1-9520653e4e77,Jeannette Jara,"Totalmente en desacuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
191,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Muy importante,Masculino,21,Johannes Kaiser Barents-von Hohenhagen,6915c621-5ba0-cb27-5603-2210836670ac,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo en desacuerdo, Algo de acuerdo",1,1
79,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Femenino,34,Jeannette Jara Román,6915c622-59d2-fa10-a525-657c692449f2,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
196,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,32,Evelyn Matthei Fornet,6915c620-098c-6e46-13c5-5bd85ae1a413,José Antonio Kast,"Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
127,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Izquierda,Nada importante,Femenino,24,José Antonio Kast Rist,6915c624-0cad-d710-3db2-79e60cb2179e,Jeannette Jara,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
92,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Más cercano con la Derecha,Moderadamente importante,Masculino,32,José Antonio Kast Rist,6915c628-7766-e6a7-3efc-6ecaeed9f416,Jeannette Jara,"Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
132,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,23,Harlod Mayne-Nicholls Sécul,6915c628-2fbb-a477-3d93-31fff74848ed,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo, Algo en desacuerdo",1,1
120,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,41,José Antonio Kast Rist,6915c635-95ae-9708-c8dc-3c0663fec411,Jeannette Jara,Algo en desacuerdo,1,1
59,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,34,Evelyn Matthei Fornet,6915c639-0f08-d60f-5288-f4b37e74f996,José Antonio Kast,"Algo en desacuerdo, Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
92,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Otro,,,,Ninguno,Nada importante,Femenino,28,Jeannette Jara Román,6915c63c-7719-194e-f7c1-a70868f68d5b,José Antonio Kast,Totalmente en desacuerdo,1,1
135,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Poco importante,Femenino,32,José Antonio Kast Rist,6915c63c-fcbf-a018-e989-e95fd64104d4,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
102,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Poco importante,Femenino,27,Evelyn Matthei Fornet,6915c641-cd56-32b5-b87f-62083288e106,Jeannette Jara,"Algo de acuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
135,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Otro,,,,Más cercano con la Derecha,Moderadamente importante,Masculino,34,Johannes Kaiser Barents-von Hohenhagen,6915c646-4434-6d1f-9a8e-467843bb32a8,Jeannette Jara,Totalmente en desacuerdo,1,1
121,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Extremadamente importante,Femenino,38,Jeannette Jara Román,6915c645-bb8a-7f00-5400-9c14ce3821d3,Jeannette Jara,Totalmente de acuerdo,1,1
84,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,42,José Antonio Kast Rist,6915c646-d98d-ea4f-5c7b-e120187031fc,José Antonio Kast,"Algo de acuerdo, Totalmente de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
176,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,Fuertemente de Izquierda,,Muy importante,Femenino,31,Jeannette Jara Román,6915c647-e142-b189-7a2e-3977d10991e2,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
